profile,family,n,depth_factor,tangent_count_used,k,factor,reference,comparison,metric,paired_circuits,mean_paired_difference,ci95_low,ci95_high,fraction_positive_differences
v2_basis,SU2-HaarU4-brickwork,12,6.0,128,1,measurement_basis,Z,X,physical_minus_rank_baseline,10,-5.299832816580675e-05,-0.00013424710016783536,2.6457345811827234e-05,0.4
v2_basis,SU2-HaarU4-brickwork,12,6.0,128,2,measurement_basis,Z,X,enhancement,10,-0.004035950253408094,-0.022377133028741482,0.014540939119489444,0.5
v2_basis,SU2-HaarU4-brickwork,12,6.0,128,2,measurement_basis,Z,X,actual_retention,10,-7.68752429220608e-05,-0.00041578183347768996,0.00027547538070782883,0.5
v2_basis,SU2-HaarU4-brickwork,12,6.0,128,2,measurement_basis,Z,X,deff_pairwise,10,0.2967028923369298,-3.921437483785256,4.413519233065057,0.5
v2_basis,SU2-HaarU4-brickwork,12,6.0,128,2,measurement_basis,Z,X,pairwise_purity,10,-3.9961832181000143e-07,-1.0981723157199554e-05,1.0603006125001304e-05,0.5
v2_basis,SU2-HaarU4-brickwork,12,6.0,128,2,measurement_basis,Z,X,Ffull_over_FQ_mean,10,0.0010289678238265653,0.0006636272736977885,0.0014122338334531142,1.0
v2_basis,SU2-HaarU4-brickwork,12,6.0,128,2,measurement_basis,Z,X,physical_minus_rank_baseline,10,-7.687524292208234e-05,-0.00042574253944003296,0.00028357147065304576,0.5
v2_basis,U1-RZ-XY-line,8,6.0,128,1,measurement_basis,Z,X,enhancement,12,-4.224131080925518,-4.3994190355337635,-4.0535534996769185,0.0
v2_basis,U1-RZ-XY-line,8,6.0,128,1,measurement_basis,Z,X,actual_retention,12,-0.42853503719534247,-0.4459283430686476,-0.41150153202860984,0.0
v2_basis,U1-RZ-XY-line,8,6.0,128,1,measurement_basis,Z,X,deff_pairwise,12,2.9026054464466022,2.3516101177834865,3.439475455051626,1.0
v2_basis,U1-RZ-XY-line,8,6.0,128,1,measurement_basis,Z,X,pairwise_purity,12,-0.008216751222926701,-0.00962725026188799,-0.006795954378492704,0.0
v2_basis,U1-RZ-XY-line,8,6.0,128,1,measurement_basis,Z,X,Ffull_over_FQ_mean,12,0.038457163728346844,0.02710630202067147,0.04953048973244499,1.0
v2_basis,U1-RZ-XY-line,8,6.0,128,1,measurement_basis,Z,X,physical_minus_rank_baseline,12,-0.35845831085263136,-0.3757478055181811,-0.3409339787814457,0.0
v2_basis,U1-RZ-XY-line,8,6.0,128,2,measurement_basis,Z,X,enhancement,12,1.070109720347856,0.9127355434827563,1.2236636717931302,1.0
v2_basis,U1-RZ-XY-line,8,6.0,128,2,measurement_basis,Z,X,actual_retention,12,-0.319902968859304,-0.3425338126864812,-0.2972347756300255,0.0
v2_basis,U1-RZ-XY-line,8,6.0,128,2,measurement_basis,Z,X,deff_pairwise,12,2.9026054464466022,2.345221644856401,3.437787455056969,1.0
v2_basis,U1-RZ-XY-line,8,6.0,128,2,measurement_basis,Z,X,pairwise_purity,12,-0.008216751222926701,-0.009631544316403739,-0.006830650648675488,0.0
v2_basis,U1-RZ-XY-line,8,6.0,128,2,measurement_basis,Z,X,Ffull_over_FQ_mean,12,0.038457163728346844,0.02720534719827347,0.049796882680364724,1.0
v2_basis,U1-RZ-XY-line,8,6.0,128,2,measurement_basis,Z,X,physical_minus_rank_baseline,12,-0.06977509162145235,-0.09215137470898514,-0.04753720371130718,0.0
v2_basis,U1-RZ-XY-line,12,6.0,128,1,measurement_basis,Z,X,enhancement,12,-25.746120348918893,-26.315864594899,-25.19938859109996,0.0
v2_basis,U1-RZ-XY-line,12,6.0,128,1,measurement_basis,Z,X,actual_retention,12,-0.3068335036165848,-0.31366070532794776,-0.3003282457110235,0.0
v2_basis,U1-RZ-XY-line,12,6.0,128,1,measurement_basis,Z,X,deff_pairwise,12,5.7355651517214605,5.090408390225906,6.414146751418195,1.0
v2_basis,U1-RZ-XY-line,12,6.0,128,1,measurement_basis,Z,X,pairwise_purity,12,-0.0032496258052499578,-0.0036093500297107698,-0.0029138061315730174,0.0
v2_basis,U1-RZ-XY-line,12,6.0,128,1,measurement_basis,Z,X,Ffull_over_FQ_mean,12,0.025497207865217735,0.022128118324885426,0.028661839503272255,1.0
v2_basis,U1-RZ-XY-line,12,6.0,128,1,measurement_basis,Z,X,physical_minus_rank_baseline,12,-0.29784624674200394,-0.3045145100885752,-0.2913882323449316,0.0
v2_basis,U1-RZ-XY-line,12,6.0,128,2,measurement_basis,Z,X,enhancement,12,4.236812709401405,3.7215899842697593,4.780503733427672,1.0
v2_basis,U1-RZ-XY-line,12,6.0,128,2,measurement_basis,Z,X,actual_retention,12,-0.323375979985208,-0.33424680473261664,-0.31163918521117334,0.0
v2_basis,U1-RZ-XY-line,12,6.0,128,2,measurement_basis,Z,X,deff_pairwise,12,5.7355651517214605,5.082622793837253,6.390451896804307,1.0
v2_basis,U1-RZ-XY-line,12,6.0,128,2,measurement_basis,Z,X,pairwise_purity,12,-0.0032496258052499578,-0.003608067003542398,-0.0029155649589878347,0.0
