family,n,method,metric,mean,ci_low,ci_high,circuits
U1-RZ-XY-line,8,random_rank,expected_scalar_directional_grad2,0.005253656815921619,0.004931535896093756,0.0055839846065025775,20
U1-RZ-XY-line,8,random_rank,estimated_parameter_gradient_norm2,2.9000185623887584,2.7194100719872654,3.082812086265815,20
U1-RZ-XY-line,8,random_rank,linearized_fd_snr,0.10224767451365094,0.09910924536633972,0.10550838110756093,20
U1-RZ-XY-line,8,random_rank,finite_difference_snr_mean,0.09722786841099097,0.09130541848464059,0.10394962818587855,20
U1-RZ-XY-line,8,random_rank,finite_difference_grad2_mean,0.005244171083053735,0.004602580233885988,0.006019001603812955,20
U1-RZ-XY-line,8,random_rank,finite_difference_relative_error_mean,4.083318679026228e-05,3.192440418258694e-05,5.270930312040426e-05,20
U1-RZ-XY-line,10,aligned_crossfit,actual_retention,0.41768223761484363,0.4104799113627458,0.42548333452157355,20
U1-RZ-XY-line,10,aligned_crossfit,rho,11.64869351570286,11.452227850402233,11.866698969616165,20
U1-RZ-XY-line,10,aligned_crossfit,expected_scalar_directional_grad2,0.016884809525339852,0.01636172321080554,0.01738632207157875,20
U1-RZ-XY-line,10,aligned_crossfit,estimated_parameter_gradient_norm2,14.68978428704572,14.242883136424698,15.131208152179218,20
U1-RZ-XY-line,10,aligned_crossfit,linearized_fd_snr,0.18365267003907595,0.18078986205244824,0.18643013238212805,20
U1-RZ-XY-line,10,aligned_crossfit,finite_difference_snr_mean,0.1817809129203069,0.17353980930115737,0.1900311861696038,20
U1-RZ-XY-line,10,aligned_crossfit,finite_difference_grad2_mean,0.017681650338119654,0.01608932278317149,0.01929285928597884,20
U1-RZ-XY-line,10,aligned_crossfit,finite_difference_relative_error_mean,1.6134575557991036e-05,1.4765681047727404e-05,1.7598750981169974e-05,20
U1-RZ-XY-line,10,physical,actual_retention,0.35335102450231953,0.34475425579242386,0.36164952993642885,20
U1-RZ-XY-line,10,physical,rho,9.854567461120244,9.611998249385465,10.084424642241027,20
U1-RZ-XY-line,10,physical,expected_scalar_directional_grad2,0.014204716239376195,0.013742737880718253,0.01467580708381638,20
U1-RZ-XY-line,10,physical,estimated_parameter_gradient_norm2,12.35810312825733,11.9567351429182,12.764519220057863,20
U1-RZ-XY-line,10,physical,linearized_fd_snr,0.16843527401132635,0.16565202364465476,0.17109537955102883,20
U1-RZ-XY-line,10,physical,finite_difference_snr_mean,0.16573441135146055,0.15867086983888878,0.17290816960328378,20
U1-RZ-XY-line,10,physical,finite_difference_grad2_mean,0.014570998813325676,0.013371809628048232,0.015826566962496243,20
U1-RZ-XY-line,10,physical,finite_difference_relative_error_mean,9.487466321331168e-06,8.969556360723717e-06,9.95024382548299e-06,20
U1-RZ-XY-line,10,random_rank,actual_retention,0.0360130388440196,0.034649099716596604,0.03734942941595569,20
U1-RZ-XY-line,10,random_rank,rho,1.0043636388721031,0.9665605275025537,1.042379593839754,20
U1-RZ-XY-line,10,random_rank,expected_scalar_directional_grad2,0.00141790404784427,0.0013630096313065265,0.0014713914931040522,20
U1-RZ-XY-line,10,random_rank,estimated_parameter_gradient_norm2,1.2335765216245698,1.1871289986446882,1.2804546784915487,20
U1-RZ-XY-line,10,random_rank,linearized_fd_snr,0.05320187147406684,0.052132678101257844,0.05419021781461132,20
U1-RZ-XY-line,10,random_rank,finite_difference_snr_mean,0.05200872258888413,0.04933244218088372,0.05461537984535721,20
U1-RZ-XY-line,10,random_rank,finite_difference_grad2_mean,0.0014497979908367797,0.0013117833088776686,0.0015869505230479823,20
U1-RZ-XY-line,10,random_rank,finite_difference_relative_error_mean,4.008726513497753e-05,3.531549539070043e-05,4.492664911026073e-05,20
U1-RZ-XY-line,12,aligned_crossfit,actual_retention,0.3552640382451906,0.35055362996394546,0.35994017549814644,20
U1-RZ-XY-line,12,aligned_crossfit,rho,29.80988248184645,29.422471548769643,30.207139304665933,20
U1-RZ-XY-line,12,aligned_crossfit,expected_scalar_directional_grad2,0.011878692230294256,0.011630673012596121,0.012125014702369406,20
U1-RZ-XY-line,12,aligned_crossfit,estimated_parameter_gradient_norm2,14.967152210170832,14.646652769864907,15.279972673226276,20
U1-RZ-XY-line,12,aligned_crossfit,linearized_fd_snr,0.15409053610328255,0.15250738278788925,0.15569035322819139,20
U1-RZ-XY-line,12,aligned_crossfit,finite_difference_snr_mean,0.14521373247730035,0.141029568683002,0.14957414314935874,20
U1-RZ-XY-line,12,aligned_crossfit,finite_difference_grad2_mean,0.011164613270345737,0.01050647521852729,0.011810628967851407,20
U1-RZ-XY-line,12,aligned_crossfit,finite_difference_relative_error_mean,1.3612284291801425e-05,1.292580353451188e-05,1.432975224202416e-05,20
U1-RZ-XY-line,12,physical,actual_retention,0.2953852104087169,0.28875317549743595,0.3020293722726728,20
U1-RZ-XY-line,12,physical,rho,24.785504473385977,24.218636750081117,25.334387792224334,20
U1-RZ-XY-line,12,physical,expected_scalar_directional_grad2,0.009818944823053653,0.009533292546212603,0.010092624907155,20
U1-RZ-XY-line,12,physical,estimated_parameter_gradient_norm2,12.371870477047658,12.015758399599724,12.714126622942388,20
U1-RZ-XY-line,12,physical,linearized_fd_snr,0.1400615084294544,0.1381415930160213,0.14201619433292312,20
U1-RZ-XY-line,12,physical,finite_difference_snr_mean,0.13063323044845868,0.12649287235887366,0.1348895442426291,20
U1-RZ-XY-line,12,physical,finite_difference_grad2_mean,0.008996912640334745,0.008413292554421359,0.009579128861237744,20
U1-RZ-XY-line,12,physical,finite_difference_relative_error_mean,8.248462977934347e-06,8.035548921142739e-06,8.459278995396659e-06,20
U1-RZ-XY-line,12,random_rank,actual_retention,0.011949719130775641,0.011567288561624088,0.012315371178733336,20
U1-RZ-XY-line,12,random_rank,rho,1.0026900688823608,0.9708041859994615,1.0337155801582192,20
U1-RZ-XY-line,12,random_rank,expected_scalar_directional_grad2,0.00039033724083209996,0.0003762458131132473,0.00040377777900826135,20
U1-RZ-XY-line,12,random_rank,estimated_parameter_gradient_norm2,0.4918249234485047,0.47399422043052725,0.5087312040420117,20
U1-RZ-XY-line,12,random_rank,linearized_fd_snr,0.027917207248822122,0.027399312340293348,0.02841735633157523,20
U1-RZ-XY-line,12,random_rank,finite_difference_snr_mean,0.02674646216568189,0.025694764211092912,0.027834684074740757,20
U1-RZ-XY-line,12,random_rank,finite_difference_grad2_mean,0.0003810583987851,0.0003530448138049225,0.000410735377906859,20
U1-RZ-XY-line,12,random_rank,finite_difference_relative_error_mean,4.0586818428485106e-05,3.69304791326935e-05,4.487567733502946e-05,20
