family,n,k,analysis_status,circuits,metric,mean,ci95_low,ci95_high
SU2-CNOT-line,6,2,exploratory_post_hoc,16,enhancement,0.9917380030189954,0.9791142431752177,1.0039792714475642
SU2-CNOT-line,6,2,exploratory_post_hoc,16,orientation_growth_ratio,0.043488609830260955,0.02860292322809772,0.06032059058515617
SU2-CNOT-line,6,2,exploratory_post_hoc,16,population_orientation_z,-0.5489273203617165,-1.373956128581106,0.28983091230932395
SU2-CNOT-line,6,2,exploratory_post_hoc,16,r_times_deff,1071.8668172327693,1060.361497060127,1082.9586411096204
SU2-CNOT-line,8,1,exploratory_post_hoc,16,enhancement,0.9810976077159008,0.9568397119401448,1.005079804675327
SU2-CNOT-line,8,1,exploratory_post_hoc,16,orientation_growth_ratio,0.059054646115319104,0.044838187190813734,0.07472914299048666
SU2-CNOT-line,8,1,exploratory_post_hoc,16,population_orientation_z,-0.899447093117062,-2.028374685656428,0.21869837211304813
SU2-CNOT-line,8,1,exploratory_post_hoc,16,r_times_deff,1353.6776229104319,1333.2711075475936,1373.8241698966224
SU2-CNOT-line,8,2,exploratory_post_hoc,16,enhancement,0.9856984978649397,0.9792192451262282,0.9919843335540427
SU2-CNOT-line,8,2,exploratory_post_hoc,16,orientation_growth_ratio,0.021077107600519493,0.014083338438687296,0.029180668705260083
SU2-CNOT-line,8,2,exploratory_post_hoc,16,population_orientation_z,-1.495937249644851,-2.2159182758524514,-0.830607499848925
SU2-CNOT-line,8,2,exploratory_post_hoc,16,r_times_deff,6091.549303096945,6003.127036471672,6184.229864157365
SU2-CNOT-line,10,1,exploratory_post_hoc,16,enhancement,0.9929654450833425,0.971130857496414,1.014350056456804
SU2-CNOT-line,10,1,exploratory_post_hoc,16,orientation_growth_ratio,0.032483277185136925,0.0200022530174194,0.047294063436840596
SU2-CNOT-line,10,1,exploratory_post_hoc,16,population_orientation_z,-0.4672082671110331,-1.894161821534099,0.9700589255331402
SU2-CNOT-line,10,1,exploratory_post_hoc,16,r_times_deff,4676.490312894919,4631.5411626563855,4729.154771099773
SU2-CNOT-line,10,2,exploratory_post_hoc,16,enhancement,0.9912473656654028,0.9868625438489715,0.9957132202928716
SU2-CNOT-line,10,2,exploratory_post_hoc,16,orientation_growth_ratio,0.010091094503758806,0.00669506181820822,0.013861267706324277
SU2-CNOT-line,10,2,exploratory_post_hoc,16,population_orientation_z,-1.3873636992512832,-2.0728853396737086,-0.6925464697361001
SU2-CNOT-line,10,2,exploratory_post_hoc,16,r_times_deff,25720.696720922057,25475.370499640405,26006.26718875861
SU2-CNOT-line,12,1,exploratory_post_hoc,16,enhancement,0.9846586585419532,0.9689854980841079,1.0018441340374151
SU2-CNOT-line,12,1,exploratory_post_hoc,16,orientation_growth_ratio,0.02586391273362443,0.018307059105544733,0.03353419533629387
SU2-CNOT-line,12,1,exploratory_post_hoc,16,population_orientation_z,-1.3558987125617654,-2.7204795521904033,0.17557048205829212
SU2-CNOT-line,12,1,exploratory_post_hoc,16,r_times_deff,11782.8759779177,11682.186750389548,11881.025685675208
SU2-CNOT-line,12,2,exploratory_post_hoc,16,enhancement,0.9789796890504243,0.9723230062929931,0.9861621034652425
SU2-CNOT-line,12,2,exploratory_post_hoc,16,orientation_growth_ratio,0.018068416390524,0.01290156911273051,0.0230633767744871
SU2-CNOT-line,12,2,exploratory_post_hoc,16,population_orientation_z,-4.767148137072288,-6.324031899615606,-3.156886047530759
SU2-CNOT-line,12,2,exploratory_post_hoc,16,r_times_deff,76588.69385646505,75943.4258615548,77214.4360948546
SU2-CNOT-line,14,1,exploratory_post_hoc,12,enhancement,0.9609656321740406,0.9398009283536567,0.9809396168664742
SU2-CNOT-line,14,1,exploratory_post_hoc,12,orientation_growth_ratio,0.030624015530700724,0.01698213719644185,0.046190894605105955
SU2-CNOT-line,14,1,exploratory_post_hoc,12,population_orientation_z,-4.40912013981621,-6.889975418762745,-2.139598632421002
SU2-CNOT-line,14,1,exploratory_post_hoc,12,r_times_deff,23007.685160511814,22806.23730927393,23229.274962803273
